number of frame,current time (s),camera motion_x,camera motion_y,internal motion mean_x,internal motion mean_y,internal motion velocity
2,0.08,0.0,0.0,-0.00674012784604673,0.006055065202124325,0.00906052636346429
3,0.12,0.0,0.0,-0.2973955922067901,0.2804434618537809,0.408769707244263
4,0.16,0.0,0.0,-0.23373957127700618,0.2737888816550926,0.35999241505718554
5,0.2,0.0,0.0,-0.03525751561294367,0.34883511766975306,0.35061236676259355
6,0.24,0.0,0.0,0.05008815812475887,0.16856645748939042,0.17585071559380505
7,0.28,0.0,0.0,-0.09787029501832561,-0.05534816412278164,0.1124367107253519
8,0.32,0.0,0.0,-0.19723111376350308,-0.11705320758584105,0.22935031206110423
9,0.36,0.0,0.0,-0.08926890432098765,-0.10170144163532022,0.13532228386105552
10,0.4,0.0,0.0,0.06428505979938272,-0.19470636815200618,0.20504423598910257
11,0.44,0.0,0.0,-0.02381673930603781,-0.1389392994068287,0.1409658327071924
12,0.48,0.0,0.0,-0.21682043004918983,0.029662903208791475,0.21884009393502313
13,0.52,0.0,0.0,-0.2967062717013889,0.2124217544367284,0.3649076779473353
14,0.56,0.0,0.0,-0.12346904236593365,0.4260651162229938,0.4435945081770895
15,0.6,0.0,0.0,-0.10125082887249229,0.24267859941647377,0.2629536707522982
16,0.64,0.0,0.0,-0.15878761574074074,0.08515734260464893,0.18018124184308057
17,0.68,0.0,0.0,-0.21029045199170524,0.0619838724018615,0.21923520391763257
18,0.72,0.0,0.0,-0.2365147720148534,0.09603421434944058,0.2552681094593533
19,0.76,0.0,0.0,-0.27619689187885804,0.37079454210069446,0.4623562647301378
20,0.8,0.0,0.0,-0.10631744008005402,0.5802813343942901,0.589940526758074
21,0.84,0.0,0.0,-0.021315686261212385,0.5643771098572531,0.5647794973364493
22,0.88,0.0,0.0,-0.1029754940080054,0.39174126519097224,0.40504959106215177
23,0.92,0.0,0.0,-0.36002293716242284,0.14818071530189042,0.38932510793736097
24,0.96,0.0,0.0,-0.5776127266589506,0.01319189754533179,0.5777633496157697
25,1.0,0.0,0.0,-0.5893152006172839,0.006297910242904851,0.5893488519985572
26,1.04,0.0,0.0,-0.5542815634645062,-0.2582625024112654,0.6114961747618592
27,1.08,0.0,0.0,-0.5863865379050925,-0.46007065007716047,0.7453282329945254
28,1.12,0.0,0.0,-0.6512136501736111,-0.45235640914351855,0.7929095402791271
29,1.16,0.0,0.0,-0.7133389998070988,-0.3564985110435957,0.7974607934074833
30,1.2,0.0,0.0,-0.874678035783179,-0.36346272786458333,0.9471889045107552
31,1.24,0.0,0.0,-0.8310475742669753,-0.11504831573109568,0.8389732925710959
32,1.28,0.0,0.0,-0.6904754412615741,-0.16308244116512347,0.7094731972398545
33,1.32,0.0,0.0,-0.6801149570794753,-0.2168579704378858,0.713851338995491
34,1.36,0.0,0.0,-0.6680591121720679,-0.0025668787073206017,0.6680640435036372
35,1.4,0.0,0.0,-0.525551456404321,0.04084904800226659,0.5271365838674018
36,1.44,0.0,0.0,-0.6126287012924383,0.01677567470220872,0.612858343264554
37,1.48,0.0,0.0,-0.6128896604938272,0.041801384819878475,0.6143135125594247
38,1.52,0.0,0.0,-0.7348165027006173,-0.10682788990162037,0.7425412383847775
39,1.56,0.0,0.0,-0.7754145568094136,-0.13703046633873456,0.7874294150061644
40,1.6,0.0,0.0,-0.7472407889660494,-0.06371284390673225,0.7499520805846782
41,1.64,0.0,0.0,-0.8351677035108025,0.023601754270953897,0.8355011285403355
42,1.68,0.0,0.0,-0.8200813802083333,0.18965928819444444,0.8417268652970679
43,1.72,0.0,0.0,-0.8457411024305556,0.3595586178626543,0.9189996800977429
44,1.76,-0.006054283818230033,0.0024628055980429053,-0.9602944575012144,0.4840517705014941,1.0753936775121857
45,1.8,0.0,0.0,-0.9656843774112654,0.47042103708526234,1.0741705027175887
46,1.84,0.0,0.0,-0.9438707441165124,0.3434844292534722,1.0044269683449576
47,1.88,0.0,0.0,-0.853012092496142,0.1026550895785108,0.8591668623503927
48,1.92,0.0,0.0,-0.7424631679205247,-0.09463002146026235,0.7484693692330708
49,1.96,0.0,0.0,-0.6846332465277778,-0.10939768096547067,0.6933184945259919
50,2.0,0.0,0.0,-0.6154550660686728,-0.0046081933857482155,0.6154723176519598
51,2.04,0.0,0.0,-0.542714542341821,0.0022810712272738234,0.5427193360801107
52,2.08,0.0,0.0,-0.5459565489969136,0.09203048140914352,0.5536588867714651
53,2.12,0.0,0.0,-0.5660622227044753,0.12277566792052469,0.5792238812466747
54,2.16,0.0,0.0,-0.4950606131847994,0.12797770182291668,0.5113348246411396
55,2.2,0.0,0.0,-0.438904411410108,0.19644012827932097,0.48085944552815996
56,2.24,0.0,0.0,-0.46785843460648147,0.3580215265721451,0.5891272598696112
57,2.28,0.0,0.0,-0.5088673683449074,0.6363510320216049,0.8147936146787316
58,2.32,0.0,0.0,-0.4161450798128858,0.7316257957175926,0.8416965203752915
59,2.36,0.0,0.0,-0.49123107156635804,0.6362833960262345,0.8038435953162222
60,2.4,0.0,0.0,-0.7218381076388889,0.6035027247299383,0.9408856425709512
61,2.44,0.0,0.0,-0.9345659119405865,0.5177115885416667,1.0683813610652686
62,2.48,0.0,0.0,-0.983144832658179,0.4318730408468364,1.073819391421468
63,2.52,0.0,0.0,-0.9735579427083333,0.028016255696614582,0.9739609737529222
64,2.56,0.0,0.0,-1.1348130063657407,-0.2827173454378858,1.1694997463994148
65,2.6,-0.01250416785478592,-0.0005213090626057237,-1.4887252158257696,-0.2756772707020548,1.5140345854098638
66,2.64,-0.012687206268310547,-0.006399972713552415,-1.6116525892563809,-0.13864339992340746,1.6176050385675482
67,2.68,-0.0190506000071764,0.0011789848795160651,-1.582673816466589,-0.12936300060096667,1.5879518869453835
68,2.72,-0.022585269063711166,-0.002261733985505998,-1.6725240818236344,-0.15808690485515758,1.6799786527711225
69,2.76,-0.01698475144803524,-0.007667183876037598,-1.8518928044933227,-0.11002018651844543,1.8551580527749374
70,2.8,-0.014989855699241161,0.00011049478780478239,-1.9871905310677342,-0.03275714493730324,1.987460499559603
71,2.84,-0.017578198108822107,0.0035947044380009174,-1.9292691929019803,0.0187235426624524,1.9293600466814098
72,2.88,-0.029819918796420097,-0.0018833527283277363,-1.8647989807020366,0.014269411017655475,1.8648535745516712
73,2.92,-0.013961115735583007,-0.007949112448841333,-1.6228733750051578,-0.04394585207541599,1.6234682716995938
74,2.96,-0.02407239843159914,-0.002326653921045363,-1.5877227886825984,-0.16424826409592994,1.5961958357170882
75,3.0,-0.016783056780695915,-0.005960698006674647,-1.741479264785662,-0.08241942894645035,1.7434285164428935
76,3.04,-0.011514228768646717,-0.000198284542420879,-1.7934027031372175,-0.12115668085592017,1.7974905276345414
77,3.08,-0.007715530460700393,-0.001061778501025401,-1.7447444425331267,-0.1379431073255564,1.7501889813985405
78,3.12,-0.0066277822479605675,0.0011898741795448586,-1.5176160449125333,0.14050262316806317,1.5241061140527805
79,3.16,0.0,0.0,-1.2489307243441359,0.2131092514226466,1.2669820469338502
80,3.2,0.0,0.0,-1.1306860050154321,0.22545753761574075,1.152944900333711
81,3.24,0.0,0.0,-1.117546657986111,0.3174018313560957,1.1617462955930307
82,3.28,0.0,0.0,-0.9293976658950617,0.21402503496334876,0.9537225681309274
83,3.32,0.0,0.0,-0.6395387249228395,-0.008680026207441165,0.6395976262705274
84,3.36,0.0,0.0,-0.5345024956597222,-0.24701923888406635,0.5888220633139818
85,3.4,0.0,0.0,-0.19907113534432871,-0.422679126880787,0.46721190184752837
86,3.44,0.0,0.0,0.33370041835455244,-0.27817033179012346,0.4344360743518322
87,3.48,0.0,0.0,0.9531725019290124,-0.22194858880690588,0.9786720566701546
88,3.52,0.0,0.0,1.006426142939815,-0.41329752604166664,1.087983651634929
89,3.56,0.0,0.0,0.4293921199845679,-0.5868478732638889,0.727164368667216
90,3.6,0.0,0.0,-0.0011640027128619911,-0.7822362678433642,0.7822371338870528
91,3.64,0.0,0.0,-0.05826678240740741,-0.7859211636766975,0.7880781011086696
92,3.68,0.0,0.0,-0.06407880618248457,-0.25697949821566357,0.26484817519655796
93,3.72,0.0,0.0,0.07111349977092979,0.15524903850790894,0.17076121868650454
94,3.76,0.0,0.0,0.2445997902199074,0.18774227189429013,0.3083443173331597
95,3.8,0.0,0.0,0.2305835262345679,0.4812448760609568,0.5336341380624868
96,3.84,0.0,0.0,0.23047345196759259,0.5918947120949074,0.635182936064699
97,3.88,0.0,0.0,0.27390751591435186,0.6174424310378086,0.6754705640664513
98,3.92,0.0,0.0,0.34787645881558643,0.5511824242862654,0.6517822454164865
99,3.96,0.0,0.0,0.35581880545910494,-0.012162834450050636,0.3560266238081131
100,4.0,0.0,0.0,0.25120576834972996,-0.4890490571952161,0.5497938871938355
101,4.04,0.0,0.0,0.13146642614293982,-0.8260666835455247,0.8364625436125034
102,4.08,0.0,0.0,0.08084672339168596,-1.0473208429783951,1.0504366429348073
103,4.12,0.0,0.0,0.09463081265673225,-0.9856841362847222,0.990216242659871
104,4.16,0.0,0.0,0.1964710075472608,-0.5667504581404321,0.5998390939318856
105,4.2,0.0,0.0,0.14308497299382716,-0.3653683810763889,0.3923867523082623
106,4.24,0.0,0.0,-0.05489882857711227,-0.19067634488329474,0.19842215067172395
107,4.28,0.0,0.0,-0.10782622160734953,0.4113527500482253,0.4252500194454492
108,4.32,0.0,0.0,0.04592083966290509,0.5907798635223765,0.5925618707433546
109,4.36,0.0,0.0,0.15368800033757715,0.5908991608796297,0.6105586128915172
110,4.4,0.0,0.0,0.20336318781346452,0.5538469328703703,0.5900025518653041
111,4.44,0.0,0.0,0.3598642758969907,-0.03746604260103202,0.3618093440129038
112,4.48,0.0,0.0,0.355019832658179,-0.3687308907214506,0.5118608710898653
113,4.52,0.0,0.0,0.44697672526041665,-0.40723054108796297,0.6046692538233783
114,4.56,0.0,0.0,0.5429966603973766,-0.7457455632716049,0.9224867578138926
115,4.6,0.008124711457639933,-0.0054893221240490675,0.8533911908378847,-0.8479790420734818,1.2030565158776054
116,4.64,0.008770158980041742,-0.003394268569536507,1.384698566907304,-0.6390597968239821,1.5250532925481164
117,4.68,0.010158354882150888,-0.00030832388074486516,1.8553398125561207,-0.6899968217596872,1.979490195503441
118,4.72,0.014345815405249596,0.0056084683164954185,2.2811301683910465,-0.6578839795047671,2.3741032360941663
119,4.76,0.011298913974314928,-0.0009036480914801359,2.5548640393435864,-0.19720931065176833,2.56246400398889
120,4.8,0.01223633112385869,-0.00042971114453393966,2.7496999150181165,-0.016966649653112665,2.7497522597228805
121,4.84,0.005368802172597498,0.012213557492941618,2.8324024651885136,0.07495920364710468,2.833394184898631
122,4.88,0.010006570257246494,-0.0015988220693543553,2.685015854511272,0.45679573203270313,2.723595505903949
123,4.92,0.007716689025983214,0.0024127065553329885,2.5659882203104365,0.4787202566487565,2.610262176659228
124,4.96,0.003160955966450274,-0.003593153494875878,2.597857321425525,0.22642960037469842,2.607706468606091
125,5.0,0.010280171874910593,-0.0002599341969471425,2.5852592282022497,0.11278147734654205,2.5877180948931358
126,5.04,0.014460186939686537,-0.0016851626569405198,2.56269476097698,0.20634089423487262,2.570988331862381
127,5.08,0.015786439180374146,-0.0027843844218296,2.5654782695387617,0.011020826328417176,2.565501941158603
128,5.12,0.008135773241519928,0.00020367768593132496,2.5772389374066282,0.13409857745006404,2.5807252796372917
129,5.16,0.00912594934925437,-0.0017302567139267921,2.4484000923174123,0.33857276491222926,2.4716987132739754
130,5.2,0.009290691465139389,0.0035659677669173107,2.1065513224237495,0.021281468831872236,2.1066588178727206
131,5.24,0.010833855718374252,-0.0011703501804731786,1.7914831292353295,-0.11748961166125135,1.7953316159370447
132,5.28,0.011909907683730125,0.0014828515122644603,1.555538129546208,-0.030132774577826767,1.5558299574747474
133,5.32,0.01085268147289753,-0.00038150185719132423,1.4368707222693864,-0.12474351472025852,1.4422754303459904
134,5.36,0.01163246389478445,-0.0015181473863776773,1.3725109340604624,-0.3147975294558291,1.408149050586271
135,5.4,0.0101549974642694,-0.002080410427879542,1.4541999890326442,-0.3969099625948828,1.5073934876168245
136,5.44,0.008855219930410385,0.00023207574849948287,1.571853571543355,-0.5122394542207217,1.653212904871585
137,5.48,0.008293654303997755,-9.905128536047414e-05,1.524617466452175,-0.4859885499877877,1.600201015413464
138,5.52,0.007865171879529953,-0.0031458776211366057,1.3521474872639885,-0.3961852072071813,1.4089945158601984
139,5.56,0.008842316921800375,-0.001152548473328352,1.2035582183791256,-0.07930465759341547,1.2061681531792918
140,5.6,0.00845343666151166,0.0013172337785363197,1.0565540382613279,0.11483034772223528,1.0627758204458404
141,5.64,0.00904556130990386,-0.0013568573122029193,0.9124069849863924,0.07701560749304782,0.9156516313803422
142,5.68,0.0,0.0,0.5932834201388889,-0.09500693992332176,0.6008423547364907
143,5.72,0.0,0.0,0.32002800081983024,-0.05023939344618056,0.3239473999935443
144,5.76,0.0,0.0,0.29796552493248457,-0.01385636035306954,0.2982875337162537
145,5.8,0.0,0.0,0.3707305230034722,-0.039089427053192516,0.37278560057193044
146,5.84,0.0,0.0,0.4893455222800926,-0.37272891951195986,0.6151307890328118
147,5.88,0.0,0.0,0.500950309847608,-0.4616984652295525,0.6812610995292031
148,5.92,0.0,0.0,0.4549275414737654,-0.2233247733410494,0.5067869595591382
149,5.96,0.0,0.0,0.4719171368634259,-0.07344975224247685,0.47759883811610626
150,6.0,0.0,0.0,0.43025698061342593,-0.13501900378568674,0.4509447868086084
151,6.04,0.0,0.0,0.31460205078125,0.06046436827859761,0.3203597824120532
152,6.08,0.0,0.0,0.43952169536072533,0.11266817069347994,0.4537327819104339
153,6.12,0.0,0.0,0.5677618634259259,-0.017551851625795718,0.5680330985570944
154,6.16,0.0,0.0,0.5501431688850309,-0.07062984513647762,0.554658526748545
155,6.2,0.0,0.0,0.5867109133873457,-0.016032643259307484,0.5869299289844518
156,6.24,0.0,0.0,0.5764681592399692,0.06320063838252314,0.5799222873019082
157,6.28,0.0,0.0,0.6108860797646605,0.26636685595100307,0.6664331207251464
158,6.32,0.009614239912480116,0.00567979970946908,0.6718393914532607,0.31568123906367906,0.7423091085289654
159,6.36,0.0,0.0,0.6376889829282407,0.24860166196469907,0.6844340912605571
160,6.4,0.0,0.0,0.5049482482156635,0.14948374807098766,0.5266100305856487
161,6.44,0.0,0.0,0.4020803192515432,0.09860876012731482,0.413995495993941
162,6.48,0.0,0.0,0.4171132631655093,-0.09997461389612268,0.42892703077826444
163,6.52,0.0,0.0,0.3424478865258488,-0.45183771580825616,0.5669460965672514
164,6.56,0.0,0.0,0.28340907720871916,-0.6959971788194445,0.7514870444451611
165,6.6,-0.003046993166208267,-0.006886117160320282,0.35313919392816817,-0.667744838665297,0.7553743839000499
166,6.64,0.005367717356421053,-0.00394609768409282,0.4343673448542271,-0.7003429407032529,0.824108745778487
167,6.68,0.0,0.0,0.3350001808449074,-0.6143440152391976,0.6997454467349824
168,6.72,0.0,0.0,0.20875418957368827,-0.08851951316550925,0.22674658955676963
169,6.76,0.0,0.0,0.15427659022955248,0.5349037302276235,0.556707523664162
170,6.8,0.0,0.0,0.24857019495081017,0.7182435136959876,0.760040056039313
171,6.84,0.0,0.0,0.2684234845196759,0.7318514298804012,0.7795240101880586
172,6.88,0.005899127339944243,0.008209559135138988,0.2734305408699323,0.7695214400932561,0.8166562970084921
173,6.92,0.0,0.0,0.35315595461998456,0.6308753496334877,0.7229957365425663
174,6.96,0.0,0.0,0.408114028742284,0.17299721800250772,0.4432663960790001
175,7.0,0.0,0.0,0.5142818045910493,-0.20427924262152777,0.5533676747872532
176,7.04,0.0,0.0,0.627214687017747,-0.3645591302565586,0.7254664865203553
177,7.08,0.0,0.0,0.5966800491898148,-0.5940385079089506,0.8419672380679976
178,7.12,0.0,0.0,0.43250593774112656,-0.626075424382716,0.760941405889658
179,7.16,0.0,0.0,0.2210536175009645,-0.36522352430555555,0.426910909343429
180,7.2,0.0,0.0,0.1412122486255787,0.010126778873396509,0.1415748947103367
181,7.24,0.0,0.0,0.1892220504195602,0.09767375427999614,0.21294399883568366
182,7.28,0.0,0.0,0.29562632619598767,0.11175589855806327,0.316044784172523
183,7.32,0.0,0.0,0.2282831187307099,0.09016032654562114,0.24544259365528312
184,7.36,0.0,0.0,0.023284866898148147,-0.21406563464506173,0.21532830970974887
185,7.4,0.0,0.0,-0.06924993067611883,-0.43076554663387345,0.43629635463229244
186,7.44,0.0,0.0,-0.049306783793885034,-0.4502873926986883,0.4529789122591466
187,7.48,0.0,0.0,-0.022472922242717977,-0.40997208960262344,0.41058756250922746
188,7.52,0.0,0.0,0.06016452742211613,-0.3176808147665895,0.32332780646070436
189,7.56,0.0,0.0,0.014252777099609376,-0.41498263888888887,0.41522732597245704
190,7.6,0.0,0.0,0.02931945989161362,-0.30577504099151237,0.3071774835851368
191,7.64,0.0,0.0,0.13607959888599538,0.08862331060715664,0.16239380658124236
192,7.68,0.0,0.0,0.1528424298321759,0.3827687355324074,0.4121561758097065
193,7.72,0.0,0.0,0.33791425540123454,0.6252913411458333,0.7107568538644743
194,7.76,0.005861362325958908,0.008329472038894892,0.5804947333530535,0.7937428297550866,0.9833625044907116
195,7.8,0.006259420653805137,0.006773024797439575,0.7177195289989726,0.8854131490065728,1.139770927309625
196,7.84,0.007825180888175964,0.005345301586203277,0.8261705873409907,0.8224700316506794,1.165767898147323
197,7.88,0.006033782381564379,0.0039965438772924244,1.0703006119085592,0.6450562507793434,1.2496563393674835
198,7.92,0.009454066399484873,0.001157667618826963,1.0190745794338485,0.3319650718198304,1.0717806712926954
199,7.96,0.009846910834312439,-0.0001688377233222127,0.9724176290962431,0.008371797890724316,0.9724536659281416
200,8.0,0.011828077491372824,-0.0009921928722178563,0.8417497581567753,-0.17432463233515097,0.859611384752305
201,8.04,0.0,0.0,0.6886480034722222,0.10238948869116513,0.6962181267969946
202,8.08,0.012376462575048208,0.0016417670994997025,0.8217380604766493,0.304891225039775,0.8764770956175524
203,8.12,0.00917577650398016,0.0067807071609422565,1.0919036264666988,0.18158333966583243,1.1068992902406818
204,8.16,0.015536768361926079,0.0007671737184864469,1.1791700217615306,0.001508891307314093,1.1791709871660114
205,8.2,0.014999331906437874,0.0019428553059697151,1.1925356314423277,0.12619671777948555,1.199194247750491
206,8.24,0.014508932363241911,0.0015276057529263198,1.179046116826573,0.14283577496177274,1.187666537464431
207,8.28,0.010244433768093586,0.0029417820333037525,1.2320607359849929,0.3669538704551222,1.2855461097128633
208,8.32,0.011800548527389765,0.010716374963521957,1.4127696434093386,0.7125046536823114,1.5822708196948778
209,8.36,0.021467546932399273,0.011875887867063284,1.4417555915706872,0.6229468238420417,1.5705801256733862
210,8.4,0.022710682824254036,0.0073375466745346785,1.3975989236572275,0.5473750304859591,1.5009670800545045
211,8.44,0.015814571699593216,0.02564082108438015,1.3518044242494809,0.8291235982829038,1.5858187609717767
212,8.48,0.04480038210749626,0.03134205564856529,1.269888564651763,0.9371114189849223,1.5782251988310319
213,8.52,0.018005590434768237,0.03982039354741573,1.3913902670112195,0.6497812051215658,1.5356374864084255
214,8.56,0.034393069334328175,0.028751786798238754,1.4588116229882027,0.5894354841315452,1.5733930028187055
215,8.6,0.05357461795210838,0.017348761670291424,1.386002928344188,0.679555414641437,1.543631976523925
216,8.64,0.03394811600446701,0.017885440029203892,1.415839210384422,0.7884117604916294,1.6205535393017703
217,8.68,0.02218066342175007,0.010447535663843155,1.5217117218020153,0.48455975841408894,1.596998661159105
218,8.72,0.02341248095035553,-0.0017399303178535774,1.708665909288842,0.2020618191826298,1.7205720468313028
219,8.76,0.022847330197691917,0.0023720882018096745,1.991264359617123,0.27008420761223356,2.009497257794327
220,8.8,0.02475563995540142,0.014246700913645327,2.393910689134105,0.023848693267971184,2.3940294792924157
221,8.84,0.014341588132083416,0.016764917148975655,2.742858691574707,-0.2782785890239757,2.7569390227308417
222,8.88,0.02797906193882227,-0.015665633603930473,2.7067472594346347,-0.42323615555502014,2.7396367587375337
223,8.92,0.024926764890551567,-0.006827136501669884,2.2473685186742633,-0.2642265864921573,2.262847972740867
224,8.96,0.022416314110159874,0.00134401410468854,1.7935879779423092,0.3844400389913763,1.8343260283272633
225,9.0,0.022823079489171505,0.008504913188517094,1.5327981830494088,0.896137074176452,1.7755370809062538
226,9.04,0.014810767024755478,0.010017025982961059,1.4332394837468494,0.9655695746150328,1.7281493052375974
227,9.08,0.012843229807913303,0.0060444537084549665,1.5235738708865312,1.0139462629196314,1.830126871049342
228,9.12,0.011934599373489618,0.009812175063416362,1.4825783250092264,1.0184138569581886,1.7986676385123566
229,9.16,0.01470872713252902,0.0022705276496708393,1.580499726764076,0.6753798750316563,1.718754596182682
230,9.2,0.006177238188683987,0.011618634685873985,1.72460582026039,0.1659406372325288,1.7325707865369169
231,9.24,1.551862806081772e-05,-0.00642094062641263,1.8217736403225564,-0.19533245624376483,1.8322155891259961
232,9.28,0.033510031178593636,-0.00384056571056135,1.7199061291223323,-0.5272281071289449,1.7989014897818434
233,9.32,0.05137809179723263,-0.0005828047578688711,1.6659637291904217,-0.6917459953964521,1.8038701918722104
234,9.36,0.04230421409010887,0.0008302554488182068,1.6963656113342738,-0.6266394158461948,1.8084062720554706
235,9.4,0.04168105870485306,-0.004036286671180278,1.7701093058784803,-0.4068669733596839,1.8162675157499417
236,9.44,0.04263347201049328,0.008561240741983056,2.0275968038382723,-0.1494144670151312,2.033094558029359
237,9.48,0.06832676753401756,-0.00036621280014514923,2.1396916545338835,-0.0756028295657885,2.1410268948147992
238,9.52,0.04719624109566212,0.02717114449478686,2.182158263148165,0.012674421489491688,2.182195070653838
239,9.56,0.025445864535868168,0.015534298727288842,2.1070488306801813,0.1591689347796556,2.113052182192766
240,9.6,0.02213579136878252,0.014746090397238731,2.1810350226744273,0.14385395903370263,2.1857739434035968
241,9.64,0.030278494581580162,0.0029521898832172155,2.3365248908350864,-0.08660453363321721,2.338129361420736
242,9.68,0.02717098966240883,-6.492412649095058e-05,2.1383763675906775,-0.370729165861935,2.170275006512075
243,9.72,0.0279161324724555,-0.004956965329256491,1.930652178677236,-0.24150947588409227,1.9456990162851413
244,9.76,0.031777240335941315,0.0015710096922703087,1.9727347195406018,-0.09534833987890225,1.9750376147300586
245,9.8,0.031618595123291016,-0.0024555354029871523,2.0100396321143634,0.013230727098589004,2.010083176092473
246,9.84,0.019319895654916763,-0.0005650140810757875,1.9545148603250215,0.3415456455914925,1.984132497403802
247,9.88,0.012817839160561562,0.008233254920924082,1.9130867470662902,0.5220021448668846,1.9830247454447734
248,9.92,0.018162095919251442,0.010986464563757181,1.9845585348677854,0.4785547017653323,2.0414424265450832
249,9.96,0.01940076146274805,0.007238014135509729,2.013499026345894,0.34868908728231435,2.0434682304077145
250,10.0,0.019803431816399097,-0.00014214968541637063,1.8397965392484157,0.14661662342673581,1.8456293615175026
251,10.04,-2.0665234476327896,7.650345087051392,-5.207486004527704,-1.204140418841515,5.344891452184949
252,10.08,0.0,0.0,-9.03962497357969e-05,2.80445299030822e-05,9.464659330256653e-05
253,10.12,-0.20979018881917,1.0667930245399475,-0.8711276593675583,-0.30095703881463887,0.921649899976817
254,10.16,-1.489717423915863,2.995574116706848,0.24720862279703582,0.17447097395673206,0.3025759804389929
255,10.2,0.0,0.0,-1.0666936728395062,0.775608844521605,1.3188648419667477
256,10.24,-0.21915026009082794,-0.9760110974311829,-0.4722870952332461,-0.23017488347159487,0.5253908804928189
257,10.28,0.0,0.0,-1.47319637345679,0.027984067186897183,1.4734621348316213
258,10.32,-0.8972891569137573,2.147855043411255,-0.0921254481209649,0.01633549478318974,0.09356252765557488
259,10.36,0.0,0.0,-0.7192654079861112,0.5598482711226852,0.911467395908645
260,10.4,0.0,0.0,-0.6046193214699074,-1.2939754533179013,1.428263630316196
261,10.44,0.0,0.0,-1.4010029658564815,-0.24370429144965278,1.4220411709966891
